"Source","Target","Sig_correlations"
"Adipose - Subcutaneous","Adipose - Visceral (Omentum)_secretomics",38092
"Adipose - Subcutaneous","Adrenal Gland_secretomics",5456
"Adipose - Subcutaneous","Artery - Aorta_secretomics",16369
"Adipose - Subcutaneous","Artery - Coronary_secretomics",2210
"Adipose - Subcutaneous","Artery - Tibial_secretomics",36528
"Adipose - Subcutaneous","Bladder_secretomics",7
"Adipose - Subcutaneous","Brain - Amygdala_secretomics",13
"Adipose - Subcutaneous","Brain - Anterior cingulate cortex (BA24)_secretomics",39
"Adipose - Subcutaneous","Brain - Caudate (basal ganglia)_secretomics",94
"Adipose - Subcutaneous","Brain - Cerebellar Hemisphere_secretomics",84
"Adipose - Subcutaneous","Brain - Cerebellum_secretomics",473
"Adipose - Subcutaneous","Brain - Cortex_secretomics",416
"Adipose - Subcutaneous","Brain - Frontal Cortex (BA9)_secretomics",83
"Adipose - Subcutaneous","Brain - Hippocampus_secretomics",18
"Adipose - Subcutaneous","Brain - Hypothalamus_secretomics",13
"Adipose - Subcutaneous","Brain - Nucleus accumbens (basal ganglia)_secretomics",68
"Adipose - Subcutaneous","Brain - Putamen (basal ganglia)_secretomics",85
"Adipose - Subcutaneous","Brain - Spinal cord (cervical c-1)_secretomics",41
"Adipose - Subcutaneous","Brain - Substantia nigra_secretomics",19
"Adipose - Subcutaneous","Breast - Mammary Tissue_secretomics",18129
"Adipose - Subcutaneous","Cells - Cultured fibroblasts_secretomics",13571
"Adipose - Subcutaneous","Cells - EBV-transformed lymphocytes_secretomics",242
"Adipose - Subcutaneous","Cervix - Ectocervix_secretomics",0
"Adipose - Subcutaneous","Cervix - Endocervix_secretomics",2
"Adipose - Subcutaneous","Colon - Sigmoid_secretomics",10616
"Adipose - Subcutaneous","Colon - Transverse_secretomics",8448
"Adipose - Subcutaneous","Esophagus - Gastroesophageal Junction_secretomics",13314
"Adipose - Subcutaneous","Esophagus - Mucosa_secretomics",26245
"Adipose - Subcutaneous","Esophagus - Muscularis_secretomics",29161
"Adipose - Subcutaneous","Fallopian Tube_secretomics",0
"Adipose - Subcutaneous","Heart - Atrial Appendage_secretomics",20355
"Adipose - Subcutaneous","Heart - Left Ventricle_secretomics",32467
"Adipose - Subcutaneous","Kidney - Cortex_secretomics",118
"Adipose - Subcutaneous","Kidney - Medulla_secretomics",0
"Adipose - Subcutaneous","Liver_secretomics",5121
"Adipose - Subcutaneous","Lung_secretomics",33111
"Adipose - Subcutaneous","Minor Salivary Gland_secretomics",731
"Adipose - Subcutaneous","Muscle - Skeletal_secretomics",70867
"Adipose - Subcutaneous","Nerve - Tibial_secretomics",55912
"Adipose - Subcutaneous","Ovary_secretomics",2399
"Adipose - Subcutaneous","Pancreas_secretomics",6282
"Adipose - Subcutaneous","Pituitary_secretomics",1242
"Adipose - Subcutaneous","Prostate_secretomics",2609
"Adipose - Subcutaneous","Skin - Not Sun Exposed (Suprapubic)_secretomics",42133
"Adipose - Subcutaneous","Skin - Sun Exposed (Lower leg)_secretomics",58446
"Adipose - Subcutaneous","Small Intestine - Terminal Ileum_secretomics",409
"Adipose - Subcutaneous","Spleen_secretomics",1386
"Adipose - Subcutaneous","Stomach_secretomics",1991
"Adipose - Subcutaneous","Testis_secretomics",24284
"Adipose - Subcutaneous","Thyroid_secretomics",37462
"Adipose - Subcutaneous","Uterus_secretomics",1016
"Adipose - Subcutaneous","Vagina_secretomics",812
"Adipose - Subcutaneous","Whole Blood_secretomics",59377
"Adipose - Visceral (Omentum)","Adipose - Subcutaneous_secretomics",31472
"Adipose - Visceral (Omentum)","Adrenal Gland_secretomics",5286
"Adipose - Visceral (Omentum)","Artery - Aorta_secretomics",15632
"Adipose - Visceral (Omentum)","Artery - Coronary_secretomics",1889
"Adipose - Visceral (Omentum)","Artery - Tibial_secretomics",22264
"Adipose - Visceral (Omentum)","Bladder_secretomics",0
"Adipose - Visceral (Omentum)","Brain - Amygdala_secretomics",23
"Adipose - Visceral (Omentum)","Brain - Anterior cingulate cortex (BA24)_secretomics",48
"Adipose - Visceral (Omentum)","Brain - Caudate (basal ganglia)_secretomics",174
"Adipose - Visceral (Omentum)","Brain - Cerebellar Hemisphere_secretomics",104
"Adipose - Visceral (Omentum)","Brain - Cerebellum_secretomics",266
"Adipose - Visceral (Omentum)","Brain - Cortex_secretomics",652
"Adipose - Visceral (Omentum)","Brain - Frontal Cortex (BA9)_secretomics",87
"Adipose - Visceral (Omentum)","Brain - Hippocampus_secretomics",45
"Adipose - Visceral (Omentum)","Brain - Hypothalamus_secretomics",79
"Adipose - Visceral (Omentum)","Brain - Nucleus accumbens (basal ganglia)_secretomics",197
"Adipose - Visceral (Omentum)","Brain - Putamen (basal ganglia)_secretomics",87
"Adipose - Visceral (Omentum)","Brain - Spinal cord (cervical c-1)_secretomics",53
"Adipose - Visceral (Omentum)","Brain - Substantia nigra_secretomics",20
"Adipose - Visceral (Omentum)","Breast - Mammary Tissue_secretomics",11509
"Adipose - Visceral (Omentum)","Cells - Cultured fibroblasts_secretomics",6518
"Adipose - Visceral (Omentum)","Cells - EBV-transformed lymphocytes_secretomics",174
"Adipose - Visceral (Omentum)","Cervix - Ectocervix_secretomics",0
"Adipose - Visceral (Omentum)","Cervix - Endocervix_secretomics",0
"Adipose - Visceral (Omentum)","Colon - Sigmoid_secretomics",12597
"Adipose - Visceral (Omentum)","Colon - Transverse_secretomics",7162
"Adipose - Visceral (Omentum)","Esophagus - Gastroesophageal Junction_secretomics",17799
"Adipose - Visceral (Omentum)","Esophagus - Mucosa_secretomics",22580
"Adipose - Visceral (Omentum)","Esophagus - Muscularis_secretomics",24484
"Adipose - Visceral (Omentum)","Fallopian Tube_secretomics",0
"Adipose - Visceral (Omentum)","Heart - Atrial Appendage_secretomics",22184
"Adipose - Visceral (Omentum)","Heart - Left Ventricle_secretomics",26259
"Adipose - Visceral (Omentum)","Kidney - Cortex_secretomics",77
"Adipose - Visceral (Omentum)","Kidney - Medulla_secretomics",0
"Adipose - Visceral (Omentum)","Liver_secretomics",7931
"Adipose - Visceral (Omentum)","Lung_secretomics",26643
"Adipose - Visceral (Omentum)","Minor Salivary Gland_secretomics",687
"Adipose - Visceral (Omentum)","Muscle - Skeletal_secretomics",47624
"Adipose - Visceral (Omentum)","Nerve - Tibial_secretomics",35058
"Adipose - Visceral (Omentum)","Ovary_secretomics",733
"Adipose - Visceral (Omentum)","Pancreas_secretomics",4652
"Adipose - Visceral (Omentum)","Pituitary_secretomics",2052
"Adipose - Visceral (Omentum)","Prostate_secretomics",2300
"Adipose - Visceral (Omentum)","Skin - Not Sun Exposed (Suprapubic)_secretomics",36682
"Adipose - Visceral (Omentum)","Skin - Sun Exposed (Lower leg)_secretomics",27287
"Adipose - Visceral (Omentum)","Small Intestine - Terminal Ileum_secretomics",612
"Adipose - Visceral (Omentum)","Spleen_secretomics",2114
"Adipose - Visceral (Omentum)","Stomach_secretomics",1789
"Adipose - Visceral (Omentum)","Testis_secretomics",15644
"Adipose - Visceral (Omentum)","Thyroid_secretomics",35876
"Adipose - Visceral (Omentum)","Uterus_secretomics",296
"Adipose - Visceral (Omentum)","Vagina_secretomics",236
"Adipose - Visceral (Omentum)","Whole Blood_secretomics",53884
"Adrenal Gland","Adipose - Subcutaneous_secretomics",4362
"Adrenal Gland","Adipose - Visceral (Omentum)_secretomics",4796
"Adrenal Gland","Artery - Aorta_secretomics",3774
"Adrenal Gland","Artery - Coronary_secretomics",410
"Adrenal Gland","Artery - Tibial_secretomics",4134
"Adrenal Gland","Bladder_secretomics",0
"Adrenal Gland","Brain - Amygdala_secretomics",3
"Adrenal Gland","Brain - Anterior cingulate cortex (BA24)_secretomics",7
"Adrenal Gland","Brain - Caudate (basal ganglia)_secretomics",17
"Adrenal Gland","Brain - Cerebellar Hemisphere_secretomics",13
"Adrenal Gland","Brain - Cerebellum_secretomics",22
"Adrenal Gland","Brain - Cortex_secretomics",19
"Adrenal Gland","Brain - Frontal Cortex (BA9)_secretomics",3
"Adrenal Gland","Brain - Hippocampus_secretomics",1
"Adrenal Gland","Brain - Hypothalamus_secretomics",4
"Adrenal Gland","Brain - Nucleus accumbens (basal ganglia)_secretomics",2
"Adrenal Gland","Brain - Putamen (basal ganglia)_secretomics",3
"Adrenal Gland","Brain - Spinal cord (cervical c-1)_secretomics",2
"Adrenal Gland","Brain - Substantia nigra_secretomics",1
"Adrenal Gland","Breast - Mammary Tissue_secretomics",1147
"Adrenal Gland","Cells - Cultured fibroblasts_secretomics",2298
"Adrenal Gland","Cells - EBV-transformed lymphocytes_secretomics",7
"Adrenal Gland","Cervix - Ectocervix_secretomics",0
"Adrenal Gland","Cervix - Endocervix_secretomics",0
"Adrenal Gland","Colon - Sigmoid_secretomics",1340
"Adrenal Gland","Colon - Transverse_secretomics",1900
"Adrenal Gland","Esophagus - Gastroesophageal Junction_secretomics",2527
"Adrenal Gland","Esophagus - Mucosa_secretomics",6865
"Adrenal Gland","Esophagus - Muscularis_secretomics",5315
"Adrenal Gland","Fallopian Tube_secretomics",0
"Adrenal Gland","Heart - Atrial Appendage_secretomics",4795
"Adrenal Gland","Heart - Left Ventricle_secretomics",12789
"Adrenal Gland","Kidney - Cortex_secretomics",23
"Adrenal Gland","Kidney - Medulla_secretomics",0
"Adrenal Gland","Liver_secretomics",3269
"Adrenal Gland","Lung_secretomics",8889
"Adrenal Gland","Minor Salivary Gland_secretomics",13
"Adrenal Gland","Muscle - Skeletal_secretomics",12190
"Adrenal Gland","Nerve - Tibial_secretomics",7383
"Adrenal Gland","Ovary_secretomics",187
"Adrenal Gland","Pancreas_secretomics",2087
"Adrenal Gland","Pituitary_secretomics",141
"Adrenal Gland","Prostate_secretomics",346
"Adrenal Gland","Skin - Not Sun Exposed (Suprapubic)_secretomics",7353
"Adrenal Gland","Skin - Sun Exposed (Lower leg)_secretomics",7816
"Adrenal Gland","Small Intestine - Terminal Ileum_secretomics",56
"Adrenal Gland","Spleen_secretomics",566
"Adrenal Gland","Stomach_secretomics",463
"Adrenal Gland","Testis_secretomics",4500
"Adrenal Gland","Thyroid_secretomics",9452
"Adrenal Gland","Uterus_secretomics",96
"Adrenal Gland","Vagina_secretomics",135
"Adrenal Gland","Whole Blood_secretomics",14670
"Artery - Aorta","Adipose - Subcutaneous_secretomics",11259
"Artery - Aorta","Adipose - Visceral (Omentum)_secretomics",10586
"Artery - Aorta","Adrenal Gland_secretomics",3056
"Artery - Aorta","Artery - Coronary_secretomics",1984
"Artery - Aorta","Artery - Tibial_secretomics",10117
"Artery - Aorta","Bladder_secretomics",0
"Artery - Aorta","Brain - Amygdala_secretomics",72
"Artery - Aorta","Brain - Anterior cingulate cortex (BA24)_secretomics",41
"Artery - Aorta","Brain - Caudate (basal ganglia)_secretomics",5
